-----  Network Simulator Version    2.3 -------- 

Enter the number of messages to simulate: Packet loss probability [enter number between 0.0 and 1.0]: Packet corruption probability [0.0 for no corruption]: Packet out-of-order probability [0.0 for no out-of-order]: Average time between messages from sender's layer5 [ > 0.0]: Enter Level of tracing desired: Do you want actions randomized: (1 = yes, 0 = no)? Do you want Bidirectional: (1 = yes, 0 = no)? Input parameters:
Number of Messages = 2000  Lost Packet Prob. =   0.900
Corrupt Packet Prob. =   0.900  Out Of Order Prob. =   0.900
Ave. time between messages =    10.00  Trace level = 0
Randomize = 1  Bi-directional = 0

A:      17.1216,  Layer 5 to 4  Message = !fEVhy->Pbs'2J3m~2DU
A:      19.0966,  Layer 5 to 4  Message = ##i.Qt9]!Eh-Ps8[~Dg,
A:      29.5842,  Layer 5 to 4  Message = $X$d:oFzQ(]3h>sJ~U,a
A:      33.9898,  Layer 5 to 4  Message = %kS%$jR:#iQ9!hP8~gO7
A:      38.9818,  Layer 5 to 4  Message = &}wq&e_XRLF?93-'~xrl
A:      39.9060,  Layer 5 to 4  Message = '2=IT'kv$x:FQ]hs~,7C
A:      52.2537,  Layer 5 to 4  Message = (Eb~=Z(6SpxLi(Eb~=Zw
A:      59.5756,  Layer 5 to 4  Message = dW(V'U&)%S$R2Q!P~O}N
A:      78.8638,  Layer 5 to 4  Message = *jL.nP2r*6vX:z]>~aC%
A:      96.1534,  Layer 5 to 4  Message = +fpdWK>2&+k_RF3-~rfY
A:     101.7394,  Layer 5 to 4  Message = ,16;AFKPUZ,ejoty~&+0
A:     106.5409,  Layer 5 to 4  Message = -DZq*AWn'=T-$:Qh~7Ne
A:     124.8111,  Layer 5 to 4  Message = .V~Iq;d.V~Iq.d.V~Iq;
A:     132.6903,  Layer 5 to 4  Message = xiE~Z6pL(b=wSxiE~Z6p
A:     137.9555,  Layer 5 to 4  Message = d{iVD1|jWE2}2X03~lYG
A:     150.7329,  Layer 5 to 4  Message = 10x.-,+*)('&%$#1~}|{
A:     160.6352,  Layer 5 to 4  Message = 2CSdt'7HXiy,<M^n21BR
A:     168.1562,  Layer 5 to 4  Message = 3Uw;^!Df*Ln2Tv:]~3e)
A:     173.1320,  Layer 5 to 4  Message = 4f=qGzP&Yxc8lB3K~T4^
A:     181.0908,  Layer 5 to 4  Message = 5zbI0u]D+pW>&kR9~fM5
A:     185.8172,  Layer 5 to 4  Message = 6x(~wpibZSLE=6x(~wpi
A:     202.7296,  Layer 5 to 4  Message = d7LVaku!,6AK2`jt~+5?
A:     207.8306,  Layer 5 to 4  Message = 8T8.Jf$?[w5Qm+Gc~<Xt
A:     221.2099,  Layer 5 to 4  Message = 9g693a0^-Z*W'T$Q~N{K
A:     227.1205,  Layer 5 to 4  Message = :yZ;:[<{]=|^>}_?~`A!
A:     246.7337,  Layer 5 to 4  Message = ;.~qd;I;.~qdVI;.~qdV
A:     265.8003,  Layer 5 to 4  Message = <AEIMQ<Y^bfjnrvz~%)-
A:     278.1834,  Layer 5 to 4  Message = =fi~6Lb=xEZp(=3i~6Lb
A:     281.1135,  Layer 5 to 4  Message = dfxV}Gn7>(Ov2g0W~Ho8
A:     286.4929,  Layer 5 to 4  Message = ?xS.gBzU0?D|W2kF~Y4m
A:     299.1601,  Layer 5 to 4  Message = A-wdP<)s`LA%o[H4~kWD
A:     316.4869,  Layer 5 to 4  Message = B?=;97531x-B)'%#~|zx
A:     327.8377,  Layer 5 to 4  Message = CRbq#2BQap!1CP`o~0?O
A:     340.1357,  Layer 5 to 4  Message = De(Ij-No2St7XD<^~Bc&
A:     352.2110,  Layer 5 to 4  Message = EwL~S(Zxb6i=pEEL~S(Z
A:     362.5192,  Layer 5 to 4  Message = d,pV<#gM3w^D2nTF~eK1
A:     373.0530,  Layer 5 to 4  Message = Gf6.&{skcZRJB93)Gvnf
A:     373.3949,  Layer 5 to 4  Message = HQZdmv!+4=GPYclu~H3<
A:     379.8085,  Layer 5 to 4  Message = Id~;Vq.Id~;Vq.Id~;Iq
A:     393.8995,  Layer 5 to 4  Message = JvEq?l:g5b0]+W&R~MyJ
A:     401.5426,  Layer 5 to 4  Message = K+iI)gG'eE%cC#aA~_>|
A:     418.6077,  Layer 5 to 4  Message = LLx~pbSE6(wiZL=x~pbS
A:     432.4318,  Layer 5 to 4  Message = dPMVY]`cfilo2ux{~$'*
A:     433.6242,  Layer 5 to 4  Message = NcwNCWl#7Lau,AUj~5J_
A:     434.0811,  Layer 5 to 4  Message = Ou=dORxAgxU{Dj2X~Gm5
A:     453.0554,  Layer 5 to 4  Message = Pfb;sP'_8pJ$[53G~X2j
A:     454.2499,  Layer 5 to 4  Message = Q<(q]HQ|hS>*s_J5~jUA
A:     470.7394,  Layer 5 to 4  Message = ROLIFC?R9630-*'$~{xu
A:     489.6903,  Layer 5 to 4  Message = Sbp~x=LZSw(6ESbp~x=L
A:     497.7883,  Layer 5 to 4  Message = dt6Vv8Xx:Tz<2|>_~Aa#
A:     499.4851,  Layer 5 to 4  Message = U)Z.`3e8j=UCtHyM~R&W
A:     518.7971,  Layer 5 to 4  Message = V;~dI.qV;~dV.qV;~dI.
A:     533.9070,  Layer 5 to 4  Message = WNE;2)}tkbXOW<3*~ulc
